New York-Northern New Jersey-Long Island, NY-NJ-PA	New York, NY
Los Angeles-Long Beach-Santa Ana, CA	Los Angeles, CA
Chicago-Naperville-Joliet, IL-IN-WI	Chicago, IL
Chicago-Joliet-Naperville, IL-IN-WI	Chicago, IL
Dallas-Fort Worth-Arlington, TX	Dallas, TX
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Philadelphia, PA
Houston-Sugar Land-Baytown, TX	Houston, TX
Miami-Fort Lauderdale-Pompano Beach, FL	Miami, FL
Washington-Arlington-Alexandria, DC-VA-MD-WV	Washington, DC
Atlanta-Sandy Springs-Marietta, GA	Atlanta, GA
Boston-Cambridge-Quincy, MA-NH	Boston, MA-NH
Detroit-Warren-Livonia, MI	Detroit, MI
Phoenix-Mesa-Scottsdale, AZ	Phoenix, AZ
Phoenix-Mesa-Glendale, AZ	Phoenix, AZ
San Francisco-Oakland-Fremont, CA	San Francisco, CA
Riverside-San Bernardino-Ontario, CA	Riverside, CA
Seattle-Tacoma-Bellevue, WA	Seattle, WA
Minneapolis-St. Paul-Bloomington, MN-WI	Minneapolis, MN
San Diego-Carlsbad-San Marcos, CA	San Diego, CA
St. Louis, MO-IL	St. Louis, MO
Tampa-St. Petersburg-Clearwater, FL	Tampa, FL
Baltimore-Towson, MD	Baltimore, MD
Denver-Aurora-Broomfield, CO /1	Denver, CO
Denver-Aurora-Broomfield, CO	Denver, CO
Pittsburgh, PA	Pittsburgh, PA
Portland-Vancouver-Beaverton, OR-WA	Portland, OR
Portland-Vancouver-Hillsboro, OR-WA	Portland, OR
Cincinnati-Middletown, OH-KY-IN	Cincinnati, OH
Sacramento--Arden-Arcade--Roseville, CA	Sacramento, CA
Cleveland-Elyria-Mentor, OH	Cleveland, OH
Orlando-Kissimmee, FL	Orlando, FL
Orlando-Kissimmee-Sanford, FL	Orlando, FL
San Antonio, TX	San Antonio, TX
San Antonio-New Braunfels, TX	San Antonio, TX
Kansas City, MO-KS	Kansas City, MO
Las Vegas-Paradise, NV	Las Vegas, NV
San Jose-Sunnyvale-Santa Clara, CA	San Jose, CA
Columbus, OH	Columbus, OH
Charlotte-Gastonia-Concord, NC-SC	Charlotte, NC
Charlotte-Gastonia-Rock Hill, NC-SC	Charlotte, NC
Indianapolis-Carmel, IN	Indianapolis, IN
Austin-Round Rock, TX	Austin, TX
Austin-Round Rock-San Marcos, TX	Austin, TX
Virginia Beach-Norfolk-Newport News, VA-NC	Virginia Beach, VA
Providence-New Bedford-Fall River, RI-MA	Providence, RI
Nashville-Davidson--Murfreesboro--Franklin, TN	Nashville, TN
Milwaukee-Waukesha-West Allis, WI	Milwaukee, WI
Jacksonville, FL	Jacksonville, FL
Memphis, TN-MS-AR	Memphis, TN
Louisville/Jefferson County, KY-IN	Louisville, KY
Richmond, VA	Richmond, VA
Oklahoma City, OK	Oklahoma City, OK
Hartford-West Hartford-East Hartford, CT	Hartford, CT
New Orleans-Metairie-Kenner, LA	New Orleans, LA
Birmingham-Hoover, AL	Birmingham, AL
Salt Lake City, UT	Salt Lake City, UT
Raleigh-Cary, NC	Raleigh, NC
Buffalo-Niagara Falls, NY	Buffalo, NY
Rochester, NY	Rochester, NY
Tucson, AZ	Tucson, AZ
Tulsa, OK	Tulsa, OK
Fresno, CA	Fresno, CA
Honolulu, HI	Honolulu, HI
Bridgeport-Stamford-Norwalk, CT	Bridgeport-Stamford-Norwalk, CT
Albuquerque, NM	Albuquerque, NM
Albany-Schenectady-Troy, NY	Albany-Schenectady-Troy, NY
Omaha-Council Bluffs, NE-IA	Omaha-Council Bluffs, NE-IA
New Haven-Milford, CT	New Haven-Milford, CT
Dayton, OH	Dayton, OH
Allentown-Bethlehem-Easton, PA-NJ	Allentown-Bethlehem-Easton, PA-NJ
Bakersfield, CA	Bakersfield, CA
Worcester, MA	Worcester, MA
Oxnard-Thousand Oaks-Ventura, CA	Oxnard-Thousand Oaks-Ventura, CA
Baton Rouge, LA	Baton Rouge, LA
Grand Rapids-Wyoming, MI	Grand Rapids-Wyoming, MI
El Paso, TX	El Paso, TX
Columbia, SC	Columbia, SC
McAllen-Edinburg-Mission, TX	McAllen-Edinburg-Mission, TX
Greensboro-High Point, NC	Greensboro-High Point, NC
Akron, OH	Akron, OH
Knoxville, TN	Knoxville, TN
Springfield, MA	Springfield, MA
Bradenton-Sarasota-Venice, FL	Bradenton-Sarasota-Venice, FL
Little Rock-North Little Rock-Conway, AR	Little Rock-North Little Rock-Conway, AR
Poughkeepsie-Newburgh-Middletown, NY	Poughkeepsie-Newburgh-Middletown, NY
Stockton, CA	Stockton, CA
Toledo, OH	Toledo, OH
Charleston-North Charleston-Summerville, SC	Charleston-North Charleston-Summerville, SC
Syracuse, NY	Syracuse, NY
Greenville-Mauldin-Easley, SC	Greenville-Mauldin-Easley, SC
Colorado Springs, CO	Colorado Springs, CO
Wichita, KS	Wichita, KS
Boise City-Nampa, ID	Boise City-Nampa, ID
Cape Coral-Fort Myers, FL	Cape Coral-Fort Myers, FL
Lakeland-Winter Haven, FL	Lakeland-Winter Haven, FL
Madison, WI	Madison, WI
Youngstown-Warren-Boardman, OH-PA	Youngstown-Warren-Boardman, OH-PA
Des Moines-West Des Moines, IA	Des Moines-West Des Moines, IA
Provo-Orem, UT	Provo-Orem, UT
Scranton--Wilkes-Barre, PA	Scranton--Wilkes-Barre, PA
Ogden-Clearfield, UT	Ogden-Clearfield, UT
Jackson, MS	Jackson, MS
Augusta-Richmond County, GA-SC	Augusta-Richmond County, GA-SC
Harrisburg-Carlisle, PA	Harrisburg-Carlisle, PA
Palm Bay-Melbourne-Titusville, FL	Palm Bay-Melbourne-Titusville, FL
Chattanooga, TN-GA	Chattanooga, TN-GA
Portland-South Portland-Biddeford, ME	Portland-South Portland-Biddeford, ME
Modesto, CA	Modesto, CA
Lancaster, PA	Lancaster, PA
Durham-Chapel Hill, NC	Durham-Chapel Hill, NC
Deltona-Daytona Beach-Ormond Beach, FL	Deltona-Daytona Beach-Ormond Beach, FL
Winston-Salem, NC	Winston-Salem, NC
Santa Rosa-Petaluma, CA	Santa Rosa-Petaluma, CA
Lexington-Fayette, KY	Lexington-Fayette, KY
Spokane, WA	Spokane, WA
