CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,NATURALINC2008,NATURALINC2009,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,BIRTHS2008,BIRTHS2009,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,DEATHS2008,DEATHS2009,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,NETMIG2008,NETMIG2009,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNATIONALMIG2008,INTERNATIONALMIG2009,DOMESTICMIG2000,DOMESTICMIG2001,DOMESTICMIG2002,DOMESTICMIG2003,DOMESTICMIG2004,DOMESTICMIG2005,DOMESTICMIG2006,DOMESTICMIG2007,DOMESTICMIG2008,DOMESTICMIG2009,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RESIDUAL2008,RESIDUAL2009
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

10180,,,"Abilene, TX",Metropolitan Statistical Area,160245,160241,160108,158291,158118,158053,158571,158713,158704,159005,159059,160070,-133,-1817,-173,-65,518,142,-9,301,54,1011,240,828,760,773,808,915,939,932,893,898,582,2375,2337,2244,2381,2457,2454,2445,2427,2413,342,1547,1577,1471,1573,1542,1515,1513,1534,1515,-372,-2533,-782,-610,-143,-622,-856,-621,-845,110,91,134,-93,-592,465,110,289,69,163,120,-463,-2667,-689,-18,-608,-732,-1145,-690,-1008,-10,-1,-112,-151,-228,-147,-151,-92,-10,6,3
10180,,48059,"Callahan County, TX",County or equivalent,12905,12905,12917,12714,12800,12887,13105,13208,13215,13309,13342,13426,12,-203,86,87,218,103,7,94,33,84,-9,-14,-6,-26,-7,-3,18,-6,-10,23,24,145,130,116,147,129,159,149,164,163,33,159,136,142,154,132,141,155,174,140,22,-179,106,122,242,119,-3,96,45,60,1,3,4,0,7,4,6,4,5,3,21,-182,102,122,235,115,-9,92,40,57,-1,-10,-14,-9,-17,-13,-8,4,-2,1
10180,,48253,"Jones County, TX",County or equivalent,20785,20785,20723,20122,19977,19902,19713,19527,19407,19154,19066,18961,-62,-601,-145,-75,-189,-186,-120,-253,-88,-105,-22,-18,-53,-26,-5,10,-5,-1,3,11,41,200,189,173,170,211,197,180,188,186,63,218,242,199,175,201,202,181,185,175,-38,-564,-67,-23,-167,-185,-114,-259,-95,-135,1,5,3,-3,7,3,5,3,5,3,-39,-569,-70,-20,-174,-188,-119,-262,-100,-138,-2,-19,-25,-26,-17,-11,-1,7,4,19
10180,,48441,"Taylor County, TX",County or equivalent,126555,126551,126468,125455,125341,125264,125753,125978,126082,126542,126651,127683,-83,-1013,-114,-77,489,225,104,460,109,1032,271,860,819,825,820,908,926,939,900,864,517,2030,2018,1955,2064,2117,2098,2116,2075,2064,246,1170,1199,1130,1244,1209,1172,1177,1175,1200,-356,-1790,-821,-709,-218,-556,-739,-458,-795,185,89,126,-100,-589,451,103,278,62,153,114,-445,-1916,-721,-120,-669,-659,-1017,-520,-948,71,2,-83,-112,-193,-113,-127,-83,-21,4,-17
10420,,,"Akron, OH",Metropolitan Statistical Area,694960,694944,695971,698288,699606,700286,700587,700649,700013,700559,699954,699935,1027,2317,1318,680,301,62,-636,546,-605,-19,810,2286,2070,1772,1651,1451,1706,2171,1712,1612,2252,8826,8527,8352,8320,8272,8124,8466,8295,8252,1442,6540,6457,6580,6669,6821,6418,6295,6583,6640,159,-326,-980,-607,-1342,-1164,-2152,-1485,-2229,-1484,256,786,715,602,587,598,609,532,512,507,-97,-1112,-1695,-1209,-1929,-1762,-2761,-2017,-2741,-1991,58,357,228,-485,-8,-225,-190,-140,-88,-147
10420,,39133,"Portage County, OH",County or equivalent,152061,152043,152365,153012,153684,154457,154813,155025,154893,155916,156639,157530,322,647,672,773,356,212,-132,1023,723,891,193,659,473,457,479,343,388,501,476,480,442,1732,1603,1609,1651,1659,1602,1660,1691,1710,249,1073,1130,1152,1172,1316,1214,1159,1215,1230,116,151,351,529,-8,28,-420,553,272,427,35,132,124,101,107,102,103,96,93,96,81,19,227,428,-115,-74,-523,457,179,331,13,-163,-152,-213,-115,-159,-100,-31,-25,-16
10420,,39153,"Summit County, OH",County or equivalent,542899,542901,543606,545276,545922,545829,545774,545624,545120,544643,543315,542405,705,1670,646,-93,-55,-150,-504,-477,-1328,-910,617,1627,1597,1315,1172,1108,1318,1670,1236,1132,1810,7094,6924,6743,6669,6613,6522,6806,6604,6542,1193,5467,5327,5428,5497,5505,5204,5136,5368,5410,43,-477,-1331,-1136,-1334,-1192,-1732,-2038,-2501,-1911,221,654,591,501,480,496,506,436,419,411,-178,-1131,-1922,-1637,-1814,-1688,-2238,-2474,-2920,-2322,45,520,380,-272,107,-66,-90,-109,-63,-131
10500,,,"Albany, GA",Metropolitan Statistical Area,157833,157868,157757,159833,160054,161185,161489,162031,162975,163646,164488,165440,-111,2076,221,1131,304,542,944,671,842,952,256,1158,971,822,750,980,1055,1039,1049,956,568,2493,2276,2223,2229,2315,2447,2481,2429,2341,312,1335,1305,1401,1479,1335,1392,1442,1380,1385,-359,-346,-1104,-184,-300,-328,-27,-381,-225,-4,53,158,83,-88,244,135,195,115,145,131,-412,-504,-1187,-96,-544,-463,-222,-496,-370,-135,-8,1264,354,493,-146,-110,-84,13,18,0
